brand_name,peta,leaping_bunny,parent_company,parent_status,notes
:AM CLEANING,FALSE,TRUE,,unknown,
.kc. by keracare,TRUE,FALSE,Avlon Industries,ok,
'Ôrəbella,FALSE,TRUE,,unknown,
"""Yes She Will!"" Organics®",FALSE,TRUE,,unknown,
[ p H 7 ],FALSE,TRUE,,unknown,
@andreabellezanatural_osorno,TRUE,FALSE,,unknown,
@BambuuBrush,TRUE,FALSE,,unknown,
& Smile Tablets,TRUE,FALSE,,unknown,
& Tread Well,FALSE,TRUE,,unknown,
10 Degrees Cooler,FALSE,TRUE,,unknown,
100% Pure,TRUE,FALSE,,unknown,
1121 Apothecary,TRUE,FALSE,,unknown,
12 Grabs,TRUE,FALSE,,unknown,
123 Nourish Me,TRUE,FALSE,,unknown,
1400 Below®,FALSE,TRUE,,unknown,
180 Innovations,TRUE,FALSE,,unknown,
19th Volume Cosmetics Corp.,TRUE,FALSE,,unknown,
1KOMMA8,TRUE,FALSE,,unknown,
23Beauty Paris,TRUE,FALSE,,unknown,
24K Cosmetics,TRUE,FALSE,,unknown,
28 Day Skin,TRUE,FALSE,HarJam Innovations Ltd,ok,
28 Litsea,TRUE,FALSE,,unknown,
2E Nail Supply,TRUE,FALSE,,unknown,
2kcommerce,TRUE,FALSE,,unknown,
2nd Love Cosmetics,TRUE,FALSE,,unknown,
2SHERO KOZMETIK IMALAT TIC,TRUE,FALSE,,unknown,
305 Care,TRUE,FALSE,,unknown,
3107 Skincare,TRUE,FALSE,,unknown,
365 by Whole Foods Market,FALSE,TRUE,,unknown,
3INA,TRUE,FALSE,,unknown,
3M,TRUE,FALSE,,unknown,
3rd + Fairfax Beauty,FALSE,TRUE,,unknown,
4-Legger,FALSE,TRUE,,unknown,
4EVER MAGIC COSMETICS,TRUE,FALSE,,unknown,
4Kelp™,FALSE,TRUE,,unknown,
4organic,TRUE,FALSE,,unknown,
4ourclimate,TRUE,FALSE,,unknown,
4peoplewhocare UG,TRUE,FALSE,,unknown,
5 SENS Inc.,FALSE,TRUE,,unknown,
5 Star Shave Club,TRUE,FALSE,,unknown,
66°30,TRUE,FALSE,,unknown,
6th Floor Beauty,TRUE,FALSE,,unknown,
707 Flora,TRUE,FALSE,,unknown,
760 Skin,FALSE,TRUE,,unknown,
77Skin,FALSE,TRUE,,unknown,
786 Cosmetics,TRUE,TRUE,,unknown,
7elements,TRUE,FALSE,,unknown,
7th Heaven,FALSE,TRUE,,unknown,
8 FACES,FALSE,TRUE,,unknown,
82°E,TRUE,FALSE,DPKA UNIVERSAL CONSUMER VENTURES PRIVATE LIMITED,ok,
8Greens,TRUE,FALSE,,unknown,
A Girl's Gotta Spa!,FALSE,TRUE,,unknown,
A Good Fur Day,TRUE,FALSE,,unknown,
A House on the Moon,FALSE,TRUE,,unknown,
A Joy Forever Bath + Body,FALSE,TRUE,,unknown,
A La Maison de Provence,FALSE,TRUE,,unknown,
A Perfume Organic,TRUE,FALSE,,unknown,
A Touch of Class Beauty,TRUE,FALSE,,unknown,
A Wild Soap Bar,TRUE,FALSE,,unknown,
A.P. CHEM,TRUE,TRUE,,unknown,
A.W.Faber-Castell S.A,TRUE,FALSE,Brazil – cosmeticos,ok,
A&R Bath Shop,TRUE,FALSE,,unknown,
A2V,TRUE,FALSE,,unknown,
A2Z Beauty,FALSE,TRUE,,unknown,
Aaryanveda,TRUE,FALSE,,unknown,
AB Living Essentials,FALSE,TRUE,,unknown,
ABATURE,TRUE,FALSE,,unknown,
Abbey Essentials,FALSE,TRUE,,unknown,
Abbot Kinney Apothecary,FALSE,TRUE,,unknown,
Abbott,TRUE,FALSE,,unknown,
ABBY & FINN,TRUE,FALSE,,unknown,
Abby Rose Skin Care,TRUE,TRUE,,unknown,
Abel Fragrance,TRUE,FALSE,,unknown,
ABELA,TRUE,FALSE,,unknown,
Abercrombie & Fitch,TRUE,FALSE,,unknown,
