brand	parent
1-phenyl-2-phenylethane derivative	Kao Corporation
4P Rube Göttingen	Unilever
7 O'Clock	Procter & Gamble
8×4	Beiersdorf
Absorbent and compressible fibrous structures	Procter & Gamble
Absorbent and resilient fibrous structures	Procter & Gamble
Absorbent article	Kao Corporation
Absorbent article and absorbent core forming channels when wet	Procter & Gamble
Absorbent article and method for manufacturing sheet with three-dimensional opening used therefor	Kao Corporation
Absorbent article comprising a synthetic polymer derived from a renewable resource and methods of producing said article	Procter & Gamble
Absorbent article having a nonwoven material with antimony-free polyethylene terephthalate	Procter & Gamble
Absorbent article having elastic belt	Procter & Gamble
Absorbent article having multiple zones	Procter & Gamble
Absorbent article having waist gasketing element	Procter & Gamble
Absorbent article package with enhanced opening and recloseability	Procter & Gamble
Absorbent article sensor activation	Procter & Gamble
Absorbent article sensor replacement system	Procter & Gamble
Absorbent article with a lotioned topsheet	Procter & Gamble
Absorbent article with absorbent structure having anisotropic rigidity	Procter & Gamble
Absorbent article with activatable material	Procter & Gamble
Absorbent article with belt having profiled elasticity	Procter & Gamble
Absorbent article with color matched surfaces	Procter & Gamble
Absorbent article with conforming features	Procter & Gamble
Absorbent article with core-to-backsheet glue pattern comprising two glues	Procter & Gamble
Absorbent article with ear portion	Procter & Gamble
Absorbent article with elasticized waist region	Procter & Gamble
Absorbent article with graphics printed in preservative-free ink, and methods of manufacture thereof	Procter & Gamble
Absorbent article with improved bonding	Procter & Gamble
Absorbent article with leg cuffs	Procter & Gamble
Absorbent article with sensor	Procter & Gamble
Absorbent article with tackifier-free adhesive	Procter & Gamble
Absorbent article with waist gasketing element and leg cuffs	Procter & Gamble
Absorbent articles and methods of making the same	Procter & Gamble
Absorbent articles comprising nonwoven materials having improved thermal conductivity	Procter & Gamble
Absorbent articles comprising sensors	Procter & Gamble
Absorbent articles comprising stretch laminates	Procter & Gamble
Absorbent articles having apertured, three-dimensional materials and methods for making same	Procter & Gamble
Absorbent articles having channel-forming areas and wetness indicator	Procter & Gamble
Absorbent articles having channels and wetness indicator	Procter & Gamble
Absorbent articles including perfume and cyclodextrins	Procter & Gamble
Absorbent articles with channels	Procter & Gamble
Absorbent articles with channels and signals	Procter & Gamble
Absorbent articles with different types of channels	Procter & Gamble
Absorbent articles with elastics in multiple layers	Procter & Gamble
Absorbent articles with improved low viscosity waste acquisition	Procter & Gamble
Absorbent articles with improved topsheet dryness	Procter & Gamble
Absorbent articles with indicia and/or color	Procter & Gamble
Absorbent articles with multi-pieces acquisition layer	Procter & Gamble
Absorbent core having water-absorbing polymer particles	Procter & Gamble
Absorbent core with absorbent material pattern	Procter & Gamble
Absorbent cores having material free areas	Procter & Gamble
Absorbent products having improved packaging efficiency	Procter & Gamble
Absorbent structure	Procter & Gamble
Absorbent structure for absorbent articles	Procter & Gamble
Absorbent structure with stratified distribution layer	Procter & Gamble
Acid perfluoro-free self-foaming facial cleanser composition	L'Oréal
AcneFree	L'Oréal
Acqua di Parma	LVMH
Adaptive package	Procter & Gamble
AdeS	Unilever
Adhesive composition for absorbent articles	Procter & Gamble
